Link,Title Screening (Passed or not),Comment on Title Screening (Always needed if excluded),Abstract Screening (Passed or not),Comment on Abstract Screening,Year,KEYWORDS: Topics (Focus Area),CLEAN KEYWORDS: Topics (Focus Area),KEYWORDS: Types of research,CLEAN KEYWORDS: Types of research,KEYWORDS: Type of Organization (Determined by association of main researcher)
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10304187/,Excluded,Too broad ,,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/11059476/,Excluded,No mention of our topic,,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/11059885/,Included,,Included,,2025,"LLMs for Traffic Safety, Risk Prediction and Accident Analysis in Cloud–Edge Autonomous Driving","Transportation, Cloud-Edge Collaboration",Validation Research ,Validation Research ,University
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/11069268/,Excluded,No mention of cloud computing,,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10347923/,Excluded,Irrelevant ,,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/11133978/,Included,,Included,,2025,"LLMs in V2X Autonomous Driving, Sensor Fusion with Edge-MEC and Federated Learning","Transportation, Manufacturing",Validation Research ,Validation Research ,University
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10475803/,Excluded,No mention of LLM,,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10394207/,Excluded,,,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10776060/,Included,,Excluded,"No direct industry application, instead focusing on exposing cyber security risks of uploading data",,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10682107/,Included,,Included,,2024,Edge-Based Traffic Prediction with LLMs for 6G Intelligent Transportation Systems,"Edgecentric, Transportation",Validation Research ,Validation Research ,University
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/11132980/,Excluded,No cloud computing,,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10943010/,Excluded,No cloud computing and LLM,,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/11099033/,Excluded,A guide,,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10855145/,Excluded,No mention of our research area,,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/11123670/,Excluded,No mention of LLM and cloud computing,,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/11123662/,Excluded,No mention of LLM or cloud computing,,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/11080599/,Excluded,Too broad,,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10993194/,Excluded,No mention of LLM,,,,,,,,
https://dl-acm-org.ep.bib.mdh.se/doi/10.1145/3744464.3744483,Excluded,No mention of cloud computing,,,,,,,,
https://dl-acm-org.ep.bib.mdh.se/doi/10.1145/3762670,Excluded,No LLM or cloud computing,,,,,,,,
https://dl-acm-org.ep.bib.mdh.se/doi/10.1145/3696630.3728493,Excluded,No cloud computing,,,,,,,,
https://dl-acm-org.ep.bib.mdh.se/doi/10.1145/3696410.3714765,Excluded,No cloud computing,,,,,,,,
https://dl-acm-org.ep.bib.mdh.se/doi/10.1145/3627673.3680016,Included,,Included,,2024,Cloud Root Cause Analysis with Tool-Augmented LLM Agents in Production Systems,Cloud Reliability and Resilience,Validation Research ,Validation Research ,University
https://dl-acm-org.ep.bib.mdh.se/doi/10.1145/3696630.3728551,Included,,Included,,2024,Security Patch Localization for OSS using Fine-Tuned LLMs in Industrial Cloud Deployment,Cloud Reliability and Resilience,Experience Article ,Experience Article ,University
https://dl-acm-org.ep.bib.mdh.se/doi/10.1145/3745766,Included,,Included,,2025,LLM-Based Misconfiguration Detection in Serverless Cloud Applications with Prompt Engineering,Cloud Reliability and Resilience,Validation Research ,Validation Research ,University
https://dl-acm-org.ep.bib.mdh.se/doi/10.1145/3676641.3716280,Included,,Excluded,"Theoretical, no direct industry application",2025,Virtualized LLM Training Infrastructure at Scale in IBM Cloud,,,,
https://dl-acm-org.ep.bib.mdh.se/doi/10.1145/3728725.3728757,Excluded,"Title focuses on PLC code generation in manufacturing, not LLMs in cloud-based industrial systems.",Excluded,"emphasizes PLC/HCPS integration; LLMs appear, but not in the context of cloud deployment for industrial systems.",,,,,,
https://dl-acm-org.ep.bib.mdh.se/doi/10.14778/3717755.3717774,Excluded,title doesn’t clearly indicate LLMs in cloud‐based industrial systems.,Excluded,"a different topic, not the application of LLMs in cloud-industrial contexts.",,,,,,
https://dl-acm-org.ep.bib.mdh.se/doi/10.1145/3626246.3654739,Excluded,does not clearly reference LLMs in cloud-based industrial systems.,Excluded,preview does not indicate focus on cloud deployment of LLMs in industrial contexts.,,,,,,
https://dl-acm-org.ep.bib.mdh.se/doi/10.1145/3650212.3680343,Included,,Included,describes studying efficiency issues in LLM-based code generation.,2024,"LLM code generation, efficiency, excess token prevention",Code Generation and Quality,Applied/empirical with prototype evaluation,"Solution Proposal, Validation Research",University
https://dl-acm-org.ep.bib.mdh.se/doi/10.1109/DAC56929.2023.10247694,Included,,Excluded,No direct industry application,,,,,,
https://dl-acm-org.ep.bib.mdh.se/doi/10.1145/3629526.3645047,Excluded,"system failure prediction, not explicitly on LLMs in cloud-based industrial systems",Excluded,using IT observability data for failure prediction and root cause analysis in cloud-native/microservice systems,,,,,,
https://dl-acm-org.ep.bib.mdh.se/doi/10.1145/3695080.3695132,Excluded,database health checks and performance tuning,Excluded,is about database self-optimization and anomaly detection,,,,,,
